home_club_id,away_club_id,time,division,date,day,played,result,time_most_frequent,datetime_start,datetime_end
357,109,14:00,3A,2023-03-18,25,False,,14:00,2023-03-18 14:00:00+01:00,2023-03-18 15:10:00+01:00
605,343,14:00,3A,2022-09-10,2,False,,14:00,2022-09-10 14:00:00+02:00,2022-09-10 15:10:00+02:00
605,556,14:00,3A,2022-09-24,4,True,0-7,14:00,2022-09-24 14:00:00+02:00,2022-09-24 15:10:00+02:00
605,340,14:00,3A,2022-10-08,6,True,3-4,14:00,2022-10-08 14:00:00+02:00,2022-10-08 15:10:00+02:00
605,109,14:00,3A,2022-10-22,8,True,1-4,14:00,2022-10-22 14:00:00+02:00,2022-10-22 15:10:00+02:00
605,543,14:00,3A,2022-11-12,10,True,2-4,14:00,2022-11-12 14:00:00+01:00,2022-11-12 15:10:00+01:00
605,268,14:00,3A,2022-11-19,11,True,0-3,14:00,2022-11-19 14:00:00+01:00,2022-11-19 15:10:00+01:00
605,169,14:00,3A,2022-11-26,12,True,0-5,14:00,2022-11-26 14:00:00+01:00,2022-11-26 15:10:00+01:00
605,181,14:00,3A,2022-12-10,14,False,,14:00,2022-12-10 14:00:00+01:00,2022-12-10 15:10:00+01:00
605,359,14:00,3A,2023-01-14,17,False,,14:00,2023-01-14 14:00:00+01:00,2023-01-14 15:10:00+01:00
605,537,14:00,3A,2023-01-28,19,False,,14:00,2023-01-28 14:00:00+01:00,2023-01-28 15:10:00+01:00
605,217,14:00,3A,2023-02-11,21,False,,14:00,2023-02-11 14:00:00+01:00,2023-02-11 15:10:00+01:00
605,420,14:00,3A,2023-03-18,25,False,,14:00,2023-03-18 14:00:00+01:00,2023-03-18 15:10:00+01:00
605,357,14:00,3A,2023-03-25,26,False,,14:00,2023-03-25 14:00:00+01:00,2023-03-25 15:10:00+01:00
169,359,15:30,3A,2022-09-10,2,False,,15:30,2022-09-10 15:30:00+02:00,2022-09-10 16:40:00+02:00
169,217,15:30,3A,2022-09-24,4,True,0-1,15:30,2022-09-24 15:30:00+02:00,2022-09-24 16:40:00+02:00
169,268,15:30,3A,2022-10-08,6,True,1-0,15:30,2022-10-08 15:30:00+02:00,2022-10-08 16:40:00+02:00
169,556,15:30,3A,2022-10-22,8,True,2-2,15:30,2022-10-22 15:30:00+02:00,2022-10-22 16:40:00+02:00
169,109,15:30,3A,2022-11-12,10,True,2-3,15:30,2022-11-12 15:30:00+01:00,2022-11-12 16:40:00+01:00
169,357,15:30,3A,2022-11-19,11,True,1-1,15:30,2022-11-19 15:30:00+01:00,2022-11-19 16:40:00+01:00
169,537,15:30,3A,2022-12-10,14,False,,15:30,2022-12-10 15:30:00+01:00,2022-12-10 16:40:00+01:00
169,420,15:30,3A,2023-01-14,17,False,,15:30,2023-01-14 15:30:00+01:00,2023-01-14 16:40:00+01:00
169,343,15:30,3A,2023-01-28,19,False,,15:30,2023-01-28 15:30:00+01:00,2023-01-28 16:40:00+01:00
169,340,15:30,3A,2023-02-11,21,False,,15:30,2023-02-11 15:30:00+01:00,2023-02-11 16:40:00+01:00
169,605,15:30,3A,2023-02-25,22,False,,15:30,2023-02-25 15:30:00+01:00,2023-02-25 16:40:00+01:00
169,543,15:30,3A,2023-03-18,25,False,,15:30,2023-03-18 15:30:00+01:00,2023-03-18 16:40:00+01:00
169,181,15:30,3A,2023-03-25,26,False,,15:30,2023-03-25 15:30:00+01:00,2023-03-25 16:40:00+01:00
625,643,12:30,3D,2022-09-10,2,False,,12:30,2022-09-10 12:30:00+02:00,2022-09-10 13:40:00+02:00
625,647,12:30,3D,2022-09-24,4,True,3-1,12:30,2022-09-24 12:30:00+02:00,2022-09-24 13:40:00+02:00
